sa2_name16, sa2_code_2016, income_aud_2014_15, median_aud_2014_15, main_source_pc_of_earners_2014_15, earners_persons_2014_15, sa2_5dig16, mean_aud_2014_15
"Braidwood","101021007",83909804,42960,62.9,1641,"11007",51133
"Karabar","101021008",283280414,55369,84.5,4806,"11008",58943
"Cooma Region","101031015",70691012,41898,64.9,1452,"11015",48685
"Jindabyne - Berridale","101031016",161602436,34329,73.6,3784,"11016",42707
"Batemans Bay","101041017",114478693,32097,63.7,3036,"11017",37707
"Batemans Bay - South","101041018",130683112,34267,61.4,3255,"11018",40148
"Bega - Tathra","101041019",177883928,39568,70.6,4070,"11019",43706
"Bega-Eden Hinterland","101041020",163584729,37667,64.5,3820,"11020",42823
"Broulee - Tomakin","101041021",55440583,38130,59.3,1264,"11021",43861
"Deua - Wadbilliga","101041022",null,null,null,null,"11022",null
"Eden","101041023",61554292,34780,72.4,1478,"11023",41647
"Eurobodalla Hinterland","101041024",58976820,34339,64.2,1473,"11024",40039
"Merimbula - Tura Beach","101041025",200877940,37573,62.0,4565,"11025",44004
"Moruya - Tuross Head","101041026",137494370,35281,62.9,3318,"11026",41439
"Narooma - Bermagui","101041027",121604641,31927,55.1,3140,"11027",38728
"Mudgee","103031072",331320914,44409,77.3,5696,"11072",58167
"Mudgee Region - East","103031073",58848048,40020,64.1,1160,"11073",50731
"Mudgee Region - West","103031074",222837749,40517,69.9,4216,"11074",52855
"Wollangambe - Wollemi","103031075",null,null,null,null,"11075",null
"Queanbeyan","101021009",356273884,55872,84.1,6079,"11009",58607
"Queanbeyan - East","101021010",171943080,55558,83.1,2861,"11010",60099
"Queanbeyan Region","101021011",625205038,63980,75.6,8870,"11011",70485
"Gosford - Springfield","102011032",523381965,46937,78.9,9566,"11032",54713
"Blayney","103041076",179610718,44731,74.0,3395,"11076",52904
"Orange","103041077",461220767,44763,79.6,9001,"11077",51241
"Orange - North","103041078",613829053,49635,82.0,10609,"11078",57859
"Orange Region","103041079",284486889,44828,70.6,5377,"11079",52908
"Grafton","104011080",332450321,39799,75.2,7578,"11080",43870
"Grafton Region","104011081",258638491,37116,69.9,6017,"11081",42985
"Maclean - Yamba - Iluka","104011082",247347303,34430,62.4,5874,"11082",42109
"Bellingen","104021083",105640657,35187,63.7,2427,"11083",43527
"Coffs Harbour - North","104021084",358095086,38449,73.9,8170,"11084",43830
"Coffs Harbour - South","104021085",210916747,38694,73.4,4608,"11085",45772
"Coramba - Nana Glen - Bucca","104021086",95734741,40710,71.8,1818,"11086",52659
"Cooma","101031014",155594732,41878,72.4,3317,"11014",46908
"Calga - Kulnura","102011030",118084902,41254,64.6,2283,"11030",51724
"Erina - Green Point","102011031",364531296,44583,67.7,6313,"11031",57743
"Kariong","102011033",194010547,48043,85.9,3499,"11033",55447
"Kincumber - Picketts Valley","102011034",175642163,43887,72.5,3391,"11034",51797
"Narara","102011035",198384733,47667,82.9,3675,"11035",53982
"Wamberal - Forresters Beach","102011041",303806181,47382,71.0,5071,"11041",59911
"Woy Woy - Blackwall","102011042",313098374,44421,75.5,6070,"11042",51581
