dateyear, sa22016id, state, datemonth, sa22016pid, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, sa22016code5digit, sa22016name, for_sale_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_averageprice, for_rent_home_lease_averageprice, sa22016code, propertycategorisation, sold_private_treaty_averagediscount, sold_private_treaty_averagedaysonmarket, for_sale_both_auction_private_treaty_averageprice, sold_private_treaty_discountrecordcount, for_sale_both_auction_private_treaty_maximumprice, sold_private_treaty_daysonmarketrecordcount, for_rent_home_lease_minimumprice, sold_both_auction_private_treaty_totalprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, sold_both_auction_private_treaty_maximumprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_medianprice
2014,134,"NSW",12,"SA2_16101021007",150000.0,331500.0,120000.0,11007,"Braidwood",4.533204E7,337592.8,323.9706,101021007,"House",0.09887033,287.0,419741.1,31.0,2000000.0,36.0,50.0,1.41789E7,480.0,320.0,680000.0,22030.0,369000.0
2014,135,"NSW",12,"SA2_16101021008",182000.0,436000.0,189950.0,11008,"Karabar",5.547715E7,459737.5,401.7029,101021008,"House",0.05060513,82.0,447396.4,44.0,825000.0,75.0,220.0,4.78127E7,630.0,400.0,825000.0,55435.0,420000.0
2014,136,"NSW",12,"SA2_16101021009",225000.0,427500.0,175000.0,11009,"Queanbeyan",6.937758E7,451675.8,389.9598,101021009,"House",0.06182884,110.0,420470.1,43.0,830000.0,78.0,160.0,5.78145E7,600.0,400.0,827000.0,97100.0,410000.0
2014,137,"NSW",12,"SA2_16101021010",252500.0,452000.0,250000.0,11010,"Queanbeyan - East",5.135742E7,498986.2,417.2477,101021010,"House",0.06435604,125.0,484504.0,33.0,1195000.0,52.0,40.0,3.443005E7,650.0,420.0,1135000.0,45480.0,441000.0
2014,138,"NSW",12,"SA2_16101021011",186000.0,580000.0,120000.0,11011,"Queanbeyan Region",1.715728E8,570160.1,465.8491,101021011,"House",0.07314616,190.0,612759.8,80.0,1800000.0,101.0,200.0,7.526114E7,890.0,450.0,1700000.0,74070.0,586500.0
2014,139,"NSW",12,"SA2_16101021012",200000.0,583000.0,59000.0,11012,"Queanbeyan West - Jerrabomberra",1.278564E8,617972.4,460.9824,101021012,"House",0.05308557,89.0,586497.1,78.0,1072313.0,151.0,170.0,1.242124E8,900.0,440.0,1370000.0,104643.0,567000.0
2014,140,"NSW",12,"SA2_16101031013",110000.0,139500.0,40000.0,11013,"Bombala",8724500.0,241050.0,189.5,101031013,"House",null,null,198284.1,4.0,590000.0,6.0,150.0,2410500.0,210.0,200.0,1085000.0,1895.0,177000.0
2014,141,"NSW",12,"SA2_16101031014",119000.0,240000.0,79000.0,11014,"Cooma",6.074589E7,256557.2,284.0476,101031014,"House",0.0943355,303.0,283859.3,77.0,950000.0,88.0,150.0,2.847785E7,550.0,270.0,690000.0,47720.0,249000.0
2014,142,"NSW",12,"SA2_16101031015",120000.0,330000.0,139000.0,11015,"Cooma Region",1.42688E7,365846.2,255.5,101031015,"House",null,null,375494.8,5.0,684900.0,9.0,135.0,4756000.0,540.0,240.0,750000.0,5110.0,362500.0
2014,143,"NSW",12,"SA2_16101031016",130000.0,378500.0,105000.0,11016,"Jindabyne - Berridale",8.309658E7,400332.6,428.1818,101031016,"House",0.1105719,586.0,449170.7,43.0,1200000.0,54.0,180.0,2.642195E7,1200.0,380.0,800000.0,47100.0,399000.0
